year,schedule,slc_pattern,line_id,column_id,heading,change_type,severity,description,source
2022,60,60 0616 01,0616,01,Development Charges Act,updated_line,minor,"""Net Development Charges Receivable "" is reported on SLC 60 0616 01.",pdf_changelog
2022,60,60 0699 01,0699,01,Development Charges Act,updated_line,minor,Subtotal Development Charges Act is calculated as (SLC 60 0615 01 + SLC 60 0616 01).,pdf_changelog
2022,60,60 0834 01,0834,01,,updated_line,minor,"""Community Benefit Charges""is reported on SLC 60 0834 01.",pdf_changelog
2022,60,60 0842 01,0842,01,,updated_line,minor,"""Interest earned on Development Charges Receivable"" is referenced to SLC 61 0299 18.",pdf_changelog
2022,60,60 1027 01,1027,01,,updated_line,minor,"""Monies Borrowed from Development Charges Reserve Fund (SLC 61 0299 23)"" is referenced to SLC 61 0299 23.",pdf_changelog
2022,60,60 1036 01,1036,01,,updated_line,minor,"""Community Benefit Charges earned"" is reported on SLC 60 1036 01.",pdf_changelog
2022,60,60 5635 01,5635,01,Obligatory Deferred Revenue,updated_line,minor,"""Development Charges"" on SLC 60 5635 01 is referenced to SLC 61 0299 14.",pdf_changelog
2022,60,60 5636 01,5636,01,Obligatory Deferred Revenue,updated_line,minor,"""Development Charge Installments Receivable (Uncollected)"" on SLC 60 5636 01 is referenced to SLC 61 0299 13.",pdf_changelog
2022,60,60 5655 01,5655,01,Obligatory Deferred Revenue,updated_line,minor,"""Community Benefit Charges"" is reported on SLC 60 5655 01.",pdf_changelog
2022,61,61 0206 xx,0206,,,new_line,minor,"""Emergency Preparedness"" is reported on line 0206.",pdf_changelog
2022,61,61 0207 xx,0207,,,new_line,minor,"""Electrical Power Services"" is reported on line 0207.",pdf_changelog
2022,61,61 0216 xx,0216,,,new_line,minor,"""Provinces Offences Act Services"" is reported on line 0216.",pdf_changelog
2022,61,61 0226 xx,0226,,,new_line,minor,"""Toronto-York Subway Extension"" is reported on line 0226.",pdf_changelog
2022,61,61 0246 xx,0246,,,new_line,minor,"""Public Health Services"" is reported on line 0246.",pdf_changelog
2022,61,61 0289 xx,0289,,,new_line,minor,"""Waste Diversion Services"" is reported on line 0289.",pdf_changelog
2022,61,61 xxxx 17,,17,Development Charges Receivables,new_column,minor,"""New Development Charge Installments Receivable"" is reported on column 17.",pdf_changelog
2022,61,61 xxxx 18,,18,Development Charges Receivables,new_column,minor,"""New Development Charges Interest Receivable"" is reported on column 18.",pdf_changelog
2022,61,61 xxxx 19,,19,Development Charges Receivables,new_column,minor,"""Less: Prior year Development Charges Installment Receivables and Interest collected during the year"" is reported on column 19.",pdf_changelog
2022,61,61 xxxx 20,,20,Development Charges Receivables,new_column,minor,"""New Development Charges Receivable"" is calculated as (SLC 61 xxxx 17 + SLC 61 xxxx 18 -  SLC 61 xxxx 19).",pdf_changelog
2022,61,61 xxxx 21,,21,Development Charges Cash Collected,new_column,minor,"""Repayment of Monies Borrowed from DC Reserve Fund and Associated Interested"" is reported on column 21.",pdf_changelog
2022,61,61 xxxx 22,,22,,new_column,minor,"""Total Development Charges Inflows: Receivables and Cash Collected"" is  calculated as the sum of (SLC 61 xxxx 20 + SLC 61 xxxx 06).",pdf_changelog
2022,61,61 xxxx 23,,23,Outflows/Expenditures,new_column,minor,"""Monies Borrowed from DC Reserve Fund"" is reported on column 23.",pdf_changelog
2022,61,61 xxxx 13,,13,,new_column,minor,"""Development Charge Installments Receivable and Interest Collectible"" is reported on column 13.",pdf_changelog
2022,61,61 xxxx 14,,14,,new_column,minor,"""Development Charges Net of Development Charge Installments Receivable""  is calculated as (SLC 61 xxxx 12 - SLC 61 xxxx 13).",pdf_changelog
2022,61,61 xxxx 15,,15,,new_column,minor,"""Commitments for Capital Projects Approved as of December 31""  is reported on SLC 61 xxxx 15.",pdf_changelog
2022,61,61 xxxx 16,,16,,new_column,minor,"""Balance Net of Development Charge Installments Receivable and Capital Commitments"" is calculated as (SLC 61 xxxx 12 - SLC 61 xxxx 13 - SLC 61 xxxx 15).",pdf_changelog
2022,70,70 0852 01,0852,01,Other Financial Assets,updated_line,minor,"""Development Charge Installments Receivable"" on SLC 70 0852 01 is referenced to SLC 60 5636 01.",pdf_changelog
2022,70,70 0891 01,0891,01,Other Financial Assets,updated_line,minor,"Report the amount for ""Other"" on SLC 70 0891 01.",pdf_changelog
2022,70,70 6261 01,6261,01,Non-Financial Assets,updated_line,minor,"Report the amount for ""Intangible Assets"" on SLC 70 6261 01.",pdf_changelog
2022,70,70 6262 01,6262,01,Non-Financial Assets,updated_line,minor,"Report the amount for ""Other"" on SLC 70 6262 01.",pdf_changelog
2022,70,70 6411 01,6411,01,Analysis of Accumulated Surplus (Deficit),updated_line,minor,"Report the amount for ""Investment in Intangible Assets"" on SLC 70 6411 01.",pdf_changelog
2022,70,70 6412 01,6412,01,Analysis of Accumulated Surplus (Deficit),updated_line,minor,"Report the amount for ""Other"" on SLC 70 6412 01.",pdf_changelog
2022,72B,72 1000 xx,1000,,Continuity of Taxes Receivable,updated_line,minor,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.",pdf_changelog
2022,72B,72 1010 xx,1010,,Continuity of Taxes Receivable,updated_line,minor,Write-off of taxes (Mun. Act 354) on line 1010.,pdf_changelog
2022,72B,72 1020 xx,1020,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.",pdf_changelog
2022,72B,72 1030 xx,1030,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",pdf_changelog
2022,72B,72 1040 xx,1040,,Continuity of Taxes Receivable,updated_line,minor,"ARB decisions, Advisory Notice of Adjustment due to an ARB decisions (Assessment Act 40/19.1(7)) on line 1040.",pdf_changelog
2022,72B,72 1050 xx,1050,,Continuity of Taxes Receivable,updated_line,minor,RfR (Assessment Act 39.1) on line 1050.,pdf_changelog
2022,72B,72 1060 xx,1060,,Continuity of Taxes Receivable,updated_line,minor,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.",pdf_changelog
2022,72B,72 1070 xx,1070,,Continuity of Taxes Receivable,updated_line,minor,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,pdf_changelog
2022,72B,72 1080 xx,1080,,Continuity of Taxes Receivable,updated_line,minor,Special Amended Notice (SAN) (Assessment Act) on line 1080.,pdf_changelog
2022,72B,72 1090 xx,1090,,Continuity of Taxes Receivable,updated_line,minor,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,pdf_changelog
2022,72B,72 1099 xx,1099,,Continuity of Taxes Receivable,updated_line,minor,Subtotal on line 1099 sums the line items from 1000 to 1090.,pdf_changelog
2022,72B,72 2899 xx,2899,,Continuity of Taxes Receivable,updated_line,minor,Tax adjustments before allowances on line 2899 also includes:,pdf_changelog
